text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @HoldHQ: WIN $1,000 in Bitcoin!💰

Our #Halloween #FuriousWednesday is here to treat you with another $1,000! 👻🍬

Follow us, RT this post…",FALSE,0,NA,2019-10-30T19:25:26Z,FALSE,NA,1189624371515707394,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",tarot2marseill2,615,TRUE,FALSE,NA,NA
"RT @valeria12101: Look at her gooooo
#HappyTWICEday
#TWICE4thAnniversary
#TWICE4EVER
#ONCEHALLOWEEN2
#Halloween #Cosplay
#TWICE  #트와이스 
#나연…",FALSE,0,NA,2019-10-30T19:25:26Z,FALSE,NA,1189624371452809217,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",twice_minarii,3,TRUE,FALSE,NA,NA
RT @Hicc_LANA: #Halloween #2019 #lana #luminous https://t.co/OyLYxocyQS,FALSE,0,NA,2019-10-30T19:25:26Z,FALSE,NA,1189624368118321152,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",booyeeun,54,TRUE,FALSE,NA,NA
RT @Essence: .@Ciara and @DangeRussWilson did not come to play this #Halloween. We stan these Beyonce and Jay Z costumes. (📽️: Ciara) https…,FALSE,0,NA,2019-10-30T19:25:26Z,FALSE,NA,1189624367581401095,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",juicyxkg,210,TRUE,FALSE,NA,NA
RT @TwilieAtkins: GX in the chat! #Halloween https://t.co/1mohtUhhiX,FALSE,0,NA,2019-10-30T19:25:25Z,FALSE,NA,1189624366750928896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MrBNking,2,TRUE,FALSE,NA,NA
"Pumpkin Malone ⚔️🚬
———————————
#PumpkinMalone #PumpkinCarving #Halloween #PostMalone https://t.co/eZnGrDXgHd",FALSE,0,NA,2019-10-30T19:25:25Z,FALSE,NA,1189624366247694336,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NathanMort2,0,FALSE,FALSE,NA,NA
Yesterday Cilajet was invited to participate in Downey Nissan’s 1st Annual Trunk O’ Treat Extravaganza. So many Lit… https://t.co/jn8EHWfcxu,FALSE,0,NA,2019-10-30T19:25:25Z,TRUE,NA,1189624366054563840,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cilajet,0,FALSE,FALSE,NA,NA
"RT @the_verivery: VERIVERY - 'Tag Tag Tag' Halloween Special Video

☞ https://t.co/jPiHm3Nsr6
☞ https://t.co/DhvTxrNc6v

#베리베리 #VERIVERY #V…",FALSE,0,NA,2019-10-30T19:25:25Z,FALSE,NA,1189624365878374400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArumMaharani10,513,TRUE,FALSE,NA,NA
RT @cri_rabbit: 👻해피할로윈기념👻 지인합작으로 키쿠치 마코토 작업했습니다. 이것저것 그리고싶은대루 재밋게 그렸어요🎃🎃 #Halloween #halloween2019 #菊地真 #アイマス https://t.co/e6kKOST22j,FALSE,0,NA,2019-10-30T19:25:24Z,FALSE,NA,1189624362598621184,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frosty_Ar_ia,80,TRUE,FALSE,NA,NA
"RT @BT21_: Halloween it isn't,
but in my palms it is! 🎃
​
#ReadyFor #Halloween #Wallpaper #BT21 https://t.co/QGXuTIMr8S",FALSE,0,NA,2019-10-30T19:25:24Z,FALSE,NA,1189624361826709504,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SugaYoo78819724,10493,TRUE,FALSE,NA,NA
