"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Total de personas","No hay grupo",3015081
"2","2","El Progreso","Total de personas","No hay grupo",176632
"3","3","Sacatepéquez","Total de personas","No hay grupo",330469
"4","4","Chimaltenango","Total de personas","No hay grupo",615776
"5","5","Escuintla","Total de personas","No hay grupo",733181
"6","6","Santa Rosa","Total de personas","No hay grupo",396607
"7","7","Sololá","Total de personas","No hay grupo",421583
"8","8","Totonicapán","Total de personas","No hay grupo",418569
"9","9","Quetzaltenango","Total de personas","No hay grupo",799101
"10","10","Suchitepéquez","Total de personas","No hay grupo",554695
"11","11","Retalhuleu","Total de personas","No hay grupo",326828
"12","12","San Marcos","Total de personas","No hay grupo",1032277
"13","13","Huehuetenango","Total de personas","No hay grupo",1170669
"14","14","Quiché","Total de personas","No hay grupo",949261
"15","15","Baja Verapaz","Total de personas","No hay grupo",299476
"16","16","Alta Verapaz","Total de personas","No hay grupo",1215038
"17","17","Petén","Total de personas","No hay grupo",545600
"18","18","Izabal","Total de personas","No hay grupo",408688
"19","19","Zacapa","Total de personas","No hay grupo",245374
"20","20","Chiquimula","Total de personas","No hay grupo",415063
"21","21","Jalapa","Total de personas","No hay grupo",342923
"22","22","Jutiapa","Total de personas","No hay grupo",488395
"23","1","Guatemala","Lugar de Nacimiento","En el mismo municipio",1937354
"24","2","El Progreso","Lugar de Nacimiento","En el mismo municipio",144038
"25","3","Sacatepéquez","Lugar de Nacimiento","En el mismo municipio",219980
"26","4","Chimaltenango","Lugar de Nacimiento","En el mismo municipio",525014
"27","5","Escuintla","Lugar de Nacimiento","En el mismo municipio",549732
"28","6","Santa Rosa","Lugar de Nacimiento","En el mismo municipio",322205
"29","7","Sololá","Lugar de Nacimiento","En el mismo municipio",392942
"30","8","Totonicapán","Lugar de Nacimiento","En el mismo municipio",392511
"31","9","Quetzaltenango","Lugar de Nacimiento","En el mismo municipio",671611
"32","10","Suchitepéquez","Lugar de Nacimiento","En el mismo municipio",441945
"33","11","Retalhuleu","Lugar de Nacimiento","En el mismo municipio",268073
"34","12","San Marcos","Lugar de Nacimiento","En el mismo municipio",927999
"35","13","Huehuetenango","Lugar de Nacimiento","En el mismo municipio",1068843
"36","14","Quiché","Lugar de Nacimiento","En el mismo municipio",873692
"37","15","Baja Verapaz","Lugar de Nacimiento","En el mismo municipio",267780
"38","16","Alta Verapaz","Lugar de Nacimiento","En el mismo municipio",1074486
"39","17","Petén","Lugar de Nacimiento","En el mismo municipio",365340
"40","18","Izabal","Lugar de Nacimiento","En el mismo municipio",317130
"41","19","Zacapa","Lugar de Nacimiento","En el mismo municipio",206627
"42","20","Chiquimula","Lugar de Nacimiento","En el mismo municipio",368239
"43","21","Jalapa","Lugar de Nacimiento","En el mismo municipio",308441
"44","22","Jutiapa","Lugar de Nacimiento","En el mismo municipio",428231
"45","1","Guatemala","Lugar de Nacimiento","En otro municipio",988903
"46","2","El Progreso","Lugar de Nacimiento","En otro municipio",26376
"47","3","Sacatepéquez","Lugar de Nacimiento","En otro municipio",101830
"48","4","Chimaltenango","Lugar de Nacimiento","En otro municipio",82673
"49","5","Escuintla","Lugar de Nacimiento","En otro municipio",165361
"50","6","Santa Rosa","Lugar de Nacimiento","En otro municipio",68190
"51","7","Sololá","Lugar de Nacimiento","En otro municipio",23266
"52","8","Totonicapán","Lugar de Nacimiento","En otro municipio",14549
"53","9","Quetzaltenango","Lugar de Nacimiento","En otro municipio",111304
"54","10","Suchitepéquez","Lugar de Nacimiento","En otro municipio",104773
"55","11","Retalhuleu","Lugar de Nacimiento","En otro municipio",53780
"56","12","San Marcos","Lugar de Nacimiento","En otro municipio",85160
"57","13","Huehuetenango","Lugar de Nacimiento","En otro municipio",81093
"58","14","Quiché","Lugar de Nacimiento","En otro municipio",58529
"59","15","Baja Verapaz","Lugar de Nacimiento","En otro municipio",28262
"60","16","Alta Verapaz","Lugar de Nacimiento","En otro municipio",126403
"61","17","Petén","Lugar de Nacimiento","En otro municipio",169678
"62","18","Izabal","Lugar de Nacimiento","En otro municipio",82189
"63","19","Zacapa","Lugar de Nacimiento","En otro municipio",30193
"64","20","Chiquimula","Lugar de Nacimiento","En otro municipio",34967
"65","21","Jalapa","Lugar de Nacimiento","En otro municipio",29795
"66","22","Jutiapa","Lugar de Nacimiento","En otro municipio",49148
"67","1","Guatemala","Lugar de Nacimiento","En otro paÍs",34216
"68","2","El Progreso","Lugar de Nacimiento","En otro paÍs",628
"69","3","Sacatepéquez","Lugar de Nacimiento","En otro paÍs",2049
"70","4","Chimaltenango","Lugar de Nacimiento","En otro paÍs",1228
"71","5","Escuintla","Lugar de Nacimiento","En otro paÍs",4451
"72","6","Santa Rosa","Lugar de Nacimiento","En otro paÍs",1980
