"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Nivel educativo de la poblacion de 4 años o mas","Ninguno",270955
"2","2","El Progreso","Nivel educativo de la poblacion de 4 años o mas","Ninguno",25105
"3","3","Sacatepéquez","Nivel educativo de la poblacion de 4 años o mas","Ninguno",37690
"4","4","Chimaltenango","Nivel educativo de la poblacion de 4 años o mas","Ninguno",100277
"5","5","Escuintla","Nivel educativo de la poblacion de 4 años o mas","Ninguno",107234
"6","6","Santa Rosa","Nivel educativo de la poblacion de 4 años o mas","Ninguno",62906
"7","7","Sololá","Nivel educativo de la poblacion de 4 años o mas","Ninguno",97212
"8","8","Totonicapán","Nivel educativo de la poblacion de 4 años o mas","Ninguno",99190
"9","9","Quetzaltenango","Nivel educativo de la poblacion de 4 años o mas","Ninguno",130546
"10","10","Suchitepéquez","Nivel educativo de la poblacion de 4 años o mas","Ninguno",104761
"11","11","Retalhuleu","Nivel educativo de la poblacion de 4 años o mas","Ninguno",53759
"12","12","San Marcos","Nivel educativo de la poblacion de 4 años o mas","Ninguno",205806
"13","13","Huehuetenango","Nivel educativo de la poblacion de 4 años o mas","Ninguno",300863
"14","14","Quiché","Nivel educativo de la poblacion de 4 años o mas","Ninguno",279280
"15","15","Baja Verapaz","Nivel educativo de la poblacion de 4 años o mas","Ninguno",69541
"16","16","Alta Verapaz","Nivel educativo de la poblacion de 4 años o mas","Ninguno",336970
"17","17","Petén","Nivel educativo de la poblacion de 4 años o mas","Ninguno",113880
"18","18","Izabal","Nivel educativo de la poblacion de 4 años o mas","Ninguno",75313
"19","19","Zacapa","Nivel educativo de la poblacion de 4 años o mas","Ninguno",45236
"20","20","Chiquimula","Nivel educativo de la poblacion de 4 años o mas","Ninguno",103283
"21","21","Jalapa","Nivel educativo de la poblacion de 4 años o mas","Ninguno",71487
"22","22","Jutiapa","Nivel educativo de la poblacion de 4 años o mas","Ninguno",86445
"23","1","Guatemala","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",122936
"24","2","El Progreso","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",8495
"25","3","Sacatepéquez","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",13966
"26","4","Chimaltenango","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",22415
"27","5","Escuintla","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",31607
"28","6","Santa Rosa","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",17133
"29","7","Sololá","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",26593
"30","8","Totonicapán","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",16345
"31","9","Quetzaltenango","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",30759
"32","10","Suchitepéquez","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",25015
"33","11","Retalhuleu","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",14874
"34","12","San Marcos","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",41117
"35","13","Huehuetenango","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",43124
"36","14","Quiché","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",37708
"37","15","Baja Verapaz","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",12535
"38","16","Alta Verapaz","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",52527
"39","17","Petén","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",25465
"40","18","Izabal","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",17701
"41","19","Zacapa","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",10249
"42","20","Chiquimula","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",17493
"43","21","Jalapa","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",14983
"44","22","Jutiapa","Nivel educativo de la poblacion de 4 años o mas","Preprimaria",22789
"45","1","Guatemala","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",365946
"46","2","El Progreso","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",30316
"47","3","Sacatepéquez","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",53927
"48","4","Chimaltenango","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",122925
"49","5","Escuintla","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",124281
"50","6","Santa Rosa","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",74583
"51","7","Sololá","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",68302
"52","8","Totonicapán","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",81989
"53","9","Quetzaltenango","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",141295
"54","10","Suchitepéquez","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",106052
"55","11","Retalhuleu","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",61622
"56","12","San Marcos","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",223561
"57","13","Huehuetenango","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",244335
"58","14","Quiché","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",184056
"59","15","Baja Verapaz","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",53583
"60","16","Alta Verapaz","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",215937
"61","17","Petén","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",108333
"62","18","Izabal","Nivel educativo de la poblacion de 4 años o mas","Primaria, 1-3",76159
