"","departamento","municipio","Municipio","caracteristica","grupo","observaciones"
"1","1","01","Guatemala","Nivel de Estudio","Ninguno",55277
"2","1","02","Santa Catarina Pinula","Nivel de Estudio","Ninguno",5824
"3","1","03","San José Pinula","Nivel de Estudio","Ninguno",8301
"4","1","04","San José del Golfo","Nivel de Estudio","Ninguno",786
"5","1","05","Palencia","Nivel de Estudio","Ninguno",12421
"6","1","06","Chinautla","Nivel de Estudio","Ninguno",10696
"7","1","07","San Pedro Ayampuc","Nivel de Estudio","Ninguno",8545
"8","1","08","Mixco","Nivel de Estudio","Ninguno",30497
"9","1","09","San Pedro Sacatepéquez","Nivel de Estudio","Ninguno",7433
"10","1","10","San Juan Sacatepéquez","Nivel de Estudio","Ninguno",38531
"11","1","11","San Raymundo","Nivel de Estudio","Ninguno",6115
"12","1","12","Chuarrancho","Nivel de Estudio","Ninguno",3578
"13","1","13","Fraijanes","Nivel de Estudio","Ninguno",5555
"14","1","14","Amatitlán","Nivel de Estudio","Ninguno",12286
"15","1","15","Villa Nueva","Nivel de Estudio","Ninguno",35122
"16","1","16","Villa Canales","Nivel de Estudio","Ninguno",20541
"17","1","17","San Miguel Petapa","Nivel de Estudio","Ninguno",9447
"18","2","01","Guastatoya","Nivel de Estudio","Ninguno",2582
"19","2","02","Morazán","Nivel de Estudio","Ninguno",2194
"20","2","03","San Agustín Acasaguastlán","Nivel de Estudio","Ninguno",7927
"21","2","04","San Cristóbal Acasaguastlán","Nivel de Estudio","Ninguno",908
"22","2","05","El Jícaro","Nivel de Estudio","Ninguno",1762
"23","2","06","Sansare","Nivel de Estudio","Ninguno",2080
"24","2","07","Sanarate","Nivel de Estudio","Ninguno",4593
"25","2","08","San Antonio la Paz","Nivel de Estudio","Ninguno",3059
"26","3","01","Antigua Guatemala","Nivel de Estudio","Ninguno",3872
"27","3","02","Jocotenango","Nivel de Estudio","Ninguno",1243
"28","3","03","Pastores","Nivel de Estudio","Ninguno",1660
"29","3","04","Sumpango","Nivel de Estudio","Ninguno",5813
"30","3","05","Santo Domingo Xenacoj","Nivel de Estudio","Ninguno",1763
"31","3","06","Santiago Sacatepéquez","Nivel de Estudio","Ninguno",4366
"32","3","07","San Bartolomé Milpas Altas","Nivel de Estudio","Ninguno",500
"33","3","08","San Lucas Sacatepéquez","Nivel de Estudio","Ninguno",1526
"34","3","09","Santa Lucía Milpas Altas","Nivel de Estudio","Ninguno",1139
"35","3","10","Magdalena Milpas Altas","Nivel de Estudio","Ninguno",950
"36","3","11","Santa María de Jesús","Nivel de Estudio","Ninguno",5102
"37","3","12","Ciudad Vieja","Nivel de Estudio","Ninguno",3190
"38","3","13","San Miguel Dueñas","Nivel de Estudio","Ninguno",1464
"39","3","14","San Juan Alotenango","Nivel de Estudio","Ninguno",3807
"40","3","15","San Antonio Aguas Calientes","Nivel de Estudio","Ninguno",974
"41","3","16","Santa Catarina Barahona","Nivel de Estudio","Ninguno",321
"42","4","01","Chimaltenango","Nivel de Estudio","Ninguno",11305
"43","4","02","San José Poaquil","Nivel de Estudio","Ninguno",4509
"44","4","03","San Martín Jilotepeque","Nivel de Estudio","Ninguno",13880
"45","4","04","San Juan Comalapa","Nivel de Estudio","Ninguno",6648
"46","4","05","Santa Apolonia","Nivel de Estudio","Ninguno",3332
"47","4","06","Tecpán Guatemala","Nivel de Estudio","Ninguno",16995
"48","4","07","Patzún","Nivel de Estudio","Ninguno",9181
"49","4","08","San Miguel Pochuta","Nivel de Estudio","Ninguno",1753
"50","4","09","Patzicía","Nivel de Estudio","Ninguno",6037
"51","4","10","Santa Cruz Balanyá","Nivel de Estudio","Ninguno",1106
"52","4","11","Acatenango","Nivel de Estudio","Ninguno",4981
"53","4","12","San Pedro Yepocapa","Nivel de Estudio","Ninguno",6626
"54","4","13","San Andrés Itzapa","Nivel de Estudio","Ninguno",6353
"55","4","14","Parramos","Nivel de Estudio","Ninguno",2383
"56","4","15","Zaragoza","Nivel de Estudio","Ninguno",3328
"57","4","16","El Tejar","Nivel de Estudio","Ninguno",1860
"58","5","01","Escuintla","Nivel de Estudio","Ninguno",17801
"59","5","02","Santa Lucía Cotzumalguapa","Nivel de Estudio","Ninguno",16254
"60","5","03","La Democracia","Nivel de Estudio","Ninguno",3962
"61","5","04","Siquinalá","Nivel de Estudio","Ninguno",3434
"62","5","05","Masagua","Nivel de Estudio","Ninguno",6951
"63","5","06","Tiquisate","Nivel de Estudio","Ninguno",9152
"64","5","07","La Gomera","Nivel de Estudio","Ninguno",8162
"65","5","08","Guanagazapa","Nivel de Estudio","Ninguno",3025
"66","5","09","San José","Nivel de Estudio","Ninguno",8634
"67","5","10","Iztapa","Nivel de Estudio","Ninguno",2574
"68","5","11","Palín","Nivel de Estudio","Ninguno",8379
"69","5","12","San Vicente Pacaya","Nivel de Estudio","Ninguno",2241
"70","5","13","Nueva Concepción","Nivel de Estudio","Ninguno",13437
"71","5","14","Sipacate","Nivel de Estudio","Ninguno",3228
"72","6","01","Cuilapa","Nivel de Estudio","Ninguno",5645
"73","6","02","Barberena","Nivel de Estudio","Ninguno",9377
"74","6","03","Santa Rosa de Lima","Nivel de Estudio","Ninguno",3081
"75","6","04","Casillas","Nivel de Estudio","Ninguno",5091
"76","6","05","San Rafael las Flores","Nivel de Estudio","Ninguno",2475
"77","6","06","Oratorio","Nivel de Estudio","Ninguno",4347
"78","6","07","San Juan Tecuaco","Nivel de Estudio","Ninguno",1634
"79","6","08","Chiquimulilla","Nivel de Estudio","Ninguno",7383
"80","6","09","Taxisco","Nivel de Estudio","Ninguno",4404
"81","6","10","Santa María Ixhuatán","Nivel de Estudio","Ninguno",4051
"82","6","11","Guazacapán","Nivel de Estudio","Ninguno",2533
"83","6","12","Santa Cruz Naranjo","Nivel de Estudio","Ninguno",2024
"84","6","13","Pueblo Nuevo Viñas","Nivel de Estudio","Ninguno",5218
"85","6","14","Nueva Santa Rosa","Nivel de Estudio","Ninguno",5643
"86","7","01","Sololá","Nivel de Estudio","Ninguno",18014
"87","7","02","San José Chacayá","Nivel de Estudio","Ninguno",749
"88","7","03","Santa María Visitación","Nivel de Estudio","Ninguno",285
"89","7","04","Santa Lucía Utatlán","Nivel de Estudio","Ninguno",4527
"90","7","05","Nahualá","Nivel de Estudio","Ninguno",20448
"91","7","06","Santa Catarina Ixtahuacán","Nivel de Estudio","Ninguno",15210
"92","7","07","Santa Clara la Laguna","Nivel de Estudio","Ninguno",1305
"93","7","08","Concepción","Nivel de Estudio","Ninguno",1429
"94","7","09","San Andrés Semetabaj","Nivel de Estudio","Ninguno",2093
"95","7","10","Panajachel","Nivel de Estudio","Ninguno",1825
"96","7","11","Santa Catarina Palopó","Nivel de Estudio","Ninguno",1159
"97","7","12","San Antonio Palopó","Nivel de Estudio","Ninguno",3443
"98","7","13","San Lucas Tolimán","Nivel de Estudio","Ninguno",5912
"99","7","14","Santa Cruz la Laguna","Nivel de Estudio","Ninguno",1593
"100","7","15","San Pablo la Laguna","Nivel de Estudio","Ninguno",1886
"101","7","16","San Marcos la Laguna","Nivel de Estudio","Ninguno",408
"102","7","17","San Juan la Laguna","Nivel de Estudio","Ninguno",1888
"103","7","18","San Pedro la Laguna","Nivel de Estudio","Ninguno",1671
"104","7","19","Santiago Atitlán","Nivel de Estudio","Ninguno",13367
"105","8","01","Totonicapán","Nivel de Estudio","Ninguno",19951
"106","8","02","San Cristóbal Totonicapán","Nivel de Estudio","Ninguno",7819
"107","8","03","San Francisco el Alto","Nivel de Estudio","Ninguno",12190
"108","8","04","San Andrés Xecul","Nivel de Estudio","Ninguno",6011
"109","8","05","Momostenango","Nivel de Estudio","Ninguno",25873
"110","8","06","Santa María Chiquimula","Nivel de Estudio","Ninguno",17946
"111","8","07","Santa Lucía la Reforma","Nivel de Estudio","Ninguno",7400
"112","8","08","San Bartolo Aguas Calientes","Nivel de Estudio","Ninguno",2000
"113","9","01","Quetzaltenango","Nivel de Estudio","Ninguno",16011
"114","9","02","Salcajá","Nivel de Estudio","Ninguno",2089
"115","9","03","San Juan Olintepeque","Nivel de Estudio","Ninguno",4260
"116","9","04","San Carlos Sija","Nivel de Estudio","Ninguno",5455
"117","9","05","Sibilia","Nivel de Estudio","Ninguno",1260
"118","9","06","Cabricán","Nivel de Estudio","Ninguno",4746
"119","9","07","Cajolá","Nivel de Estudio","Ninguno",5217
"120","9","08","San Miguel Siguilá","Nivel de Estudio","Ninguno",1572
"121","9","09","San Juan Ostuncalco","Nivel de Estudio","Ninguno",11777
"122","9","10","San Mateo","Nivel de Estudio","Ninguno",827
"123","9","11","Concepción Chiquirichapa","Nivel de Estudio","Ninguno",3611
"124","9","12","San Martín Sacatepéquez","Nivel de Estudio","Ninguno",7679
"125","9","13","Almolonga","Nivel de Estudio","Ninguno",3948
"126","9","14","Cantel","Nivel de Estudio","Ninguno",4275
"127","9","15","Huitán","Nivel de Estudio","Ninguno",3100
"128","9","16","Zunil","Nivel de Estudio","Ninguno",3671
"129","9","17","Colomba Costa Cuca","Nivel de Estudio","Ninguno",8332
"130","9","18","San Francisco la Unión","Nivel de Estudio","Ninguno",1311
"131","9","19","El Palmar","Nivel de Estudio","Ninguno",4910
"132","9","20","Coatepeque","Nivel de Estudio","Ninguno",15834
"133","9","21","Génova","Nivel de Estudio","Ninguno",9183
"134","9","22","Flores Costa Cuca","Nivel de Estudio","Ninguno",4050
"135","9","23","La Esperanza","Nivel de Estudio","Ninguno",2062
"136","9","24","Palestina de los Altos","Nivel de Estudio","Ninguno",5366
"137","1","00","Mazatenango","Nivel de Estudio","Ninguno",10343
"138","1","00","Cuyotenango","Nivel de Estudio","Ninguno",5454
"139","1","00","San Francisco Zapotitlán","Nivel de Estudio","Ninguno",3130
"140","1","00","San Bernardino","Nivel de Estudio","Ninguno",3373
"141","1","00","San José el Ídolo","Nivel de Estudio","Ninguno",1628
"142","1","00","Santo Domingo Suchitepéquez","Nivel de Estudio","Ninguno",8797
"143","1","00","San Lorenzo","Nivel de Estudio","Ninguno",2688
"144","1","00","Samayac","Nivel de Estudio","Ninguno",4222
"145","1","00","San Pablo Jocopilas","Nivel de Estudio","Ninguno",3341
"146","1","01","San Antonio Suchitepéquez","Nivel de Estudio","Ninguno",11802
"147","1","01","San Miguel Panán","Nivel de Estudio","Ninguno",1952
"148","1","01","San Gabriel","Nivel de Estudio","Ninguno",1065
"149","1","01","Chicacao","Nivel de Estudio","Ninguno",15565
"150","1","01","Patulul","Nivel de Estudio","Ninguno",7572
"151","1","01","Santa Bárbara","Nivel de Estudio","Ninguno",6316
"152","1","01","San Juan Bautista","Nivel de Estudio","Ninguno",1680
"153","1","01","Santo Tomas la Unión","Nivel de Estudio","Ninguno",1993
"154","1","01","Zunilito","Nivel de Estudio","Ninguno",1160
"155","1","01","Pueblo Nuevo","Nivel de Estudio","Ninguno",1864
"156","1","02","Río Bravo","Nivel de Estudio","Ninguno",6075
"157","1","02","San José La Máquina","Nivel de Estudio","Ninguno",4741
"158","1","10","Retalhuleu","Nivel de Estudio","Ninguno",12940
"159","1","10","San Sebastián","Nivel de Estudio","Ninguno",4456
"160","1","10","Santa Cruz Muluá","Nivel de Estudio","Ninguno",1680
"161","1","10","San Martín Zapotitlán","Nivel de Estudio","Ninguno",1474
"162","1","10","San Felipe","Nivel de Estudio","Ninguno",3025
"163","1","10","San Andrés Villa Seca","Nivel de Estudio","Ninguno",9423
"164","1","10","Champerico","Nivel de Estudio","Ninguno",6493
"165","1","10","Nuevo San Carlos","Nivel de Estudio","Ninguno",7459
"166","1","10","El Asintal","Nivel de Estudio","Ninguno",6809
"167","1","20","San Marcos","Nivel de Estudio","Ninguno",5209
"168","1","20","San Pedro Sacatepéquez","Nivel de Estudio","Ninguno",10482
"169","1","20","San Antonio Sacatepéquez","Nivel de Estudio","Ninguno",3450
"170","1","20","Comitancillo","Nivel de Estudio","Ninguno",13545
"171","1","20","San Miguel Ixtahuacán","Nivel de Estudio","Ninguno",10110
"172","1","20","Concepción Tutuapa","Nivel de Estudio","Ninguno",19200
"173","1","20","Tacaná","Nivel de Estudio","Ninguno",19575
"174","1","20","Sibinal","Nivel de Estudio","Ninguno",3123
"175","1","20","Tajumulco","Nivel de Estudio","Ninguno",15996
"176","1","21","Tejutla","Nivel de Estudio","Ninguno",4981
"177","1","21","San Rafael Pie de la Cuesta","Nivel de Estudio","Ninguno",2144
"178","1","21","Nuevo Progreso","Nivel de Estudio","Ninguno",5550
"179","1","21","El Tumbador","Nivel de Estudio","Ninguno",8515
"180","1","21","San José el Rodeo","Nivel de Estudio","Ninguno",3146
"181","1","21","Malacatán","Nivel de Estudio","Ninguno",19799
"182","1","21","Catarina","Nivel de Estudio","Ninguno",4671
"183","1","21","Ayutla","Nivel de Estudio","Ninguno",5273
"184","1","21","Ocós","Nivel de Estudio","Ninguno",1773
"185","1","21","San Pablo","Nivel de Estudio","Ninguno",9640
"186","1","22","El Quetzal","Nivel de Estudio","Ninguno",4754
"187","1","22","La Reforma","Nivel de Estudio","Ninguno",3455
"188","1","22","Pajapita","Nivel de Estudio","Ninguno",3152
"189","1","22","Ixchiguán","Nivel de Estudio","Ninguno",5216
"190","1","22","San José Ojetenam","Nivel de Estudio","Ninguno",4703
"191","1","22","San Cristóbal Cucho","Nivel de Estudio","Ninguno",3243
"192","1","22","Sipacapa","Nivel de Estudio","Ninguno",4777
"193","1","22","Esquipulas Palo Gordo","Nivel de Estudio","Ninguno",1848
"194","1","22","Río Blanco","Nivel de Estudio","Ninguno",725
"195","1","22","San Lorenzo","Nivel de Estudio","Ninguno",2178
"196","1","23","La Blanca","Nivel de Estudio","Ninguno",5573
"197","1","30","Huehuetenango","Nivel de Estudio","Ninguno",14298
"198","1","30","Chiantla","Nivel de Estudio","Ninguno",19678
"199","1","30","Malacatancito","Nivel de Estudio","Ninguno",3473
"200","1","30","Cuilco","Nivel de Estudio","Ninguno",16030
"201","1","30","Nentón","Nivel de Estudio","Ninguno",12182
"202","1","30","San Pedro Necta","Nivel de Estudio","Ninguno",8612
"203","1","30","Jacaltenango","Nivel de Estudio","Ninguno",5636
"204","1","30","San Pedro Soloma","Nivel de Estudio","Ninguno",13145
"205","1","30","San Ildefonso Ixtahuacán","Nivel de Estudio","Ninguno",10680
"206","1","31","Santa Bárbara","Nivel de Estudio","Ninguno",12161
"207","1","31","La Libertad","Nivel de Estudio","Ninguno",10229
