"","departamento","municipio","Municipio","caracteristica","grupo","observaciones"
"1","1","01","Guatemala","Distribución de hogares por área urbana","No hay grupo",100
"2","1","02","Santa Catarina Pinula","Distribución de hogares por área urbana","No hay grupo",88.57
"3","1","03","San José Pinula","Distribución de hogares por área urbana","No hay grupo",85.31
"4","1","04","San José del Golfo","Distribución de hogares por área urbana","No hay grupo",32.31
"5","1","05","Palencia","Distribución de hogares por área urbana","No hay grupo",46.44
"6","1","06","Chinautla","Distribución de hogares por área urbana","No hay grupo",91.68
"7","1","07","San Pedro Ayampuc","Distribución de hogares por área urbana","No hay grupo",81.76
"8","1","08","Mixco","Distribución de hogares por área urbana","No hay grupo",99.47
"9","1","09","San Pedro Sacatepéquez","Distribución de hogares por área urbana","No hay grupo",72.93
"10","1","10","San Juan Sacatepéquez","Distribución de hogares por área urbana","No hay grupo",74.15
"11","1","11","San Raymundo","Distribución de hogares por área urbana","No hay grupo",49.46
"12","1","12","Chuarrancho","Distribución de hogares por área urbana","No hay grupo",56.32
"13","1","13","Fraijanes","Distribución de hogares por área urbana","No hay grupo",81.27
"14","1","14","Amatitlán","Distribución de hogares por área urbana","No hay grupo",84.25
"15","1","15","Villa Nueva","Distribución de hogares por área urbana","No hay grupo",98.37
"16","1","16","Villa Canales","Distribución de hogares por área urbana","No hay grupo",80.34
"17","1","17","San Miguel Petapa","Distribución de hogares por área urbana","No hay grupo",95.61
"18","2","01","Guastatoya","Distribución de hogares por área urbana","No hay grupo",100
"19","2","02","Morazán","Distribución de hogares por área urbana","No hay grupo",23.6
"20","2","03","San Agustín Acasaguastlán","Distribución de hogares por área urbana","No hay grupo",40.25
"21","2","04","San Cristóbal Acasaguastlán","Distribución de hogares por área urbana","No hay grupo",33.76
"22","2","05","El Jícaro","Distribución de hogares por área urbana","No hay grupo",53.59
"23","2","06","Sansare","Distribución de hogares por área urbana","No hay grupo",36.9
"24","2","07","Sanarate","Distribución de hogares por área urbana","No hay grupo",53.9
"25","2","08","San Antonio la Paz","Distribución de hogares por área urbana","No hay grupo",55.57
"26","3","01","Antigua Guatemala","Distribución de hogares por área urbana","No hay grupo",100
"27","3","02","Jocotenango","Distribución de hogares por área urbana","No hay grupo",89.79
"28","3","03","Pastores","Distribución de hogares por área urbana","No hay grupo",70.1
"29","3","04","Sumpango","Distribución de hogares por área urbana","No hay grupo",78.64
"30","3","05","Santo Domingo Xenacoj","Distribución de hogares por área urbana","No hay grupo",86.5
"31","3","06","Santiago Sacatepéquez","Distribución de hogares por área urbana","No hay grupo",82.42
"32","3","07","San Bartolomé Milpas Altas","Distribución de hogares por área urbana","No hay grupo",100
"33","3","08","San Lucas Sacatepéquez","Distribución de hogares por área urbana","No hay grupo",89.02
"34","3","09","Santa Lucía Milpas Altas","Distribución de hogares por área urbana","No hay grupo",79.08
"35","3","10","Magdalena Milpas Altas","Distribución de hogares por área urbana","No hay grupo",66.72
"36","3","11","Santa María de Jesús","Distribución de hogares por área urbana","No hay grupo",99.12
"37","3","12","Ciudad Vieja","Distribución de hogares por área urbana","No hay grupo",98.32
"38","3","13","San Miguel Dueñas","Distribución de hogares por área urbana","No hay grupo",86.13
"39","3","14","San Juan Alotenango","Distribución de hogares por área urbana","No hay grupo",97.33
"40","3","15","San Antonio Aguas Calientes","Distribución de hogares por área urbana","No hay grupo",85.79
"41","3","16","Santa Catarina Barahona","Distribución de hogares por área urbana","No hay grupo",100
"42","4","01","Chimaltenango","Distribución de hogares por área urbana","No hay grupo",100
"43","4","02","San José Poaquil","Distribución de hogares por área urbana","No hay grupo",36.67
"44","4","03","San Martín Jilotepeque","Distribución de hogares por área urbana","No hay grupo",15.67
"45","4","04","San Juan Comalapa","Distribución de hogares por área urbana","No hay grupo",68.26
"46","4","05","Santa Apolonia","Distribución de hogares por área urbana","No hay grupo",14.08
"47","4","06","Tecpán Guatemala","Distribución de hogares por área urbana","No hay grupo",39.88
"48","4","07","Patzún","Distribución de hogares por área urbana","No hay grupo",50.1
"49","4","08","San Miguel Pochuta","Distribución de hogares por área urbana","No hay grupo",52.02
"50","4","09","Patzicía","Distribución de hogares por área urbana","No hay grupo",65
"51","4","10","Santa Cruz Balanyá","Distribución de hogares por área urbana","No hay grupo",17.24
"52","4","11","Acatenango","Distribución de hogares por área urbana","No hay grupo",53.98
"53","4","12","San Pedro Yepocapa","Distribución de hogares por área urbana","No hay grupo",49.7
"54","4","13","San Andrés Itzapa","Distribución de hogares por área urbana","No hay grupo",79.18
"55","4","14","Parramos","Distribución de hogares por área urbana","No hay grupo",75.01
"56","4","15","Zaragoza","Distribución de hogares por área urbana","No hay grupo",50.13
"57","4","16","El Tejar","Distribución de hogares por área urbana","No hay grupo",81.75
"58","5","01","Escuintla","Distribución de hogares por área urbana","No hay grupo",100
"59","5","02","Santa Lucía Cotzumalguapa","Distribución de hogares por área urbana","No hay grupo",53.55
"60","5","03","La Democracia","Distribución de hogares por área urbana","No hay grupo",58.75
"61","5","04","Siquinalá","Distribución de hogares por área urbana","No hay grupo",81.93
"62","5","05","Masagua","Distribución de hogares por área urbana","No hay grupo",37.41
"63","5","06","Tiquisate","Distribución de hogares por área urbana","No hay grupo",52.26
"64","5","07","La Gomera","Distribución de hogares por área urbana","No hay grupo",57.37
