"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Total de personas","No hay grupo",3015081
"2","2","El Progreso","Total de personas","No hay grupo",176632
"3","3","Sacatepéquez","Total de personas","No hay grupo",330469
"4","4","Chimaltenango","Total de personas","No hay grupo",615776
"5","5","Escuintla","Total de personas","No hay grupo",733181
"6","6","Santa Rosa","Total de personas","No hay grupo",396607
"7","7","Sololá","Total de personas","No hay grupo",421583
"8","8","Totonicapán","Total de personas","No hay grupo",418569
"9","9","Quetzaltenango","Total de personas","No hay grupo",799101
"10","10","Suchitepéquez","Total de personas","No hay grupo",554695
"11","11","Retalhuleu","Total de personas","No hay grupo",326828
"12","12","San Marcos","Total de personas","No hay grupo",1032277
"13","13","Huehuetenango","Total de personas","No hay grupo",1170669
"14","14","Quiché","Total de personas","No hay grupo",949261
"15","15","Baja Verapaz","Total de personas","No hay grupo",299476
"16","16","Alta Verapaz","Total de personas","No hay grupo",1215038
"17","17","Petén","Total de personas","No hay grupo",545600
"18","18","Izabal","Total de personas","No hay grupo",408688
"19","19","Zacapa","Total de personas","No hay grupo",245374
"20","20","Chiquimula","Total de personas","No hay grupo",415063
"21","21","Jalapa","Total de personas","No hay grupo",342923
"22","22","Jutiapa","Total de personas","No hay grupo",488395
"23","1","Guatemala","Hombre","No hay grupo",1449203
"24","2","El Progreso","Hombre","No hay grupo",87172
"25","3","Sacatepéquez","Hombre","No hay grupo",161691
"26","4","Chimaltenango","Hombre","No hay grupo",297154
"27","5","Escuintla","Hombre","No hay grupo",365507
"28","6","Santa Rosa","Hombre","No hay grupo",195584
"29","7","Sololá","Hombre","No hay grupo",201265
"30","8","Totonicapán","Hombre","No hay grupo",196293
"31","9","Quetzaltenango","Hombre","No hay grupo",377782
"32","10","Suchitepéquez","Hombre","No hay grupo",272317
"33","11","Retalhuleu","Hombre","No hay grupo",159745
"34","12","San Marcos","Hombre","No hay grupo",501142
"35","13","Huehuetenango","Hombre","No hay grupo",557086
"36","14","Quiché","Hombre","No hay grupo",455347
"37","15","Baja Verapaz","Hombre","No hay grupo",144925
"38","16","Alta Verapaz","Hombre","No hay grupo",602878
"39","17","Petén","Hombre","No hay grupo",272863
"40","18","Izabal","Hombre","No hay grupo",201859
"41","19","Zacapa","Hombre","No hay grupo",120239
"42","20","Chiquimula","Hombre","No hay grupo",199910
"43","21","Jalapa","Hombre","No hay grupo",165871
"44","22","Jutiapa","Hombre","No hay grupo",237263
"45","1","Guatemala","Mujer","No hay grupo",1565878
"46","2","El Progreso","Mujer","No hay grupo",89460
"47","3","Sacatepéquez","Mujer","No hay grupo",168778
"48","4","Chimaltenango","Mujer","No hay grupo",318622
"49","5","Escuintla","Mujer","No hay grupo",367674
"50","6","Santa Rosa","Mujer","No hay grupo",201023
"51","7","Sololá","Mujer","No hay grupo",220318
"52","8","Totonicapán","Mujer","No hay grupo",222276
"53","9","Quetzaltenango","Mujer","No hay grupo",421319
"54","10","Suchitepéquez","Mujer","No hay grupo",282378
"55","11","Retalhuleu","Mujer","No hay grupo",167083
"56","12","San Marcos","Mujer","No hay grupo",531135
"57","13","Huehuetenango","Mujer","No hay grupo",613583
"58","14","Quiché","Mujer","No hay grupo",493914
"59","15","Baja Verapaz","Mujer","No hay grupo",154551
"60","16","Alta Verapaz","Mujer","No hay grupo",612160
"61","17","Petén","Mujer","No hay grupo",272737
"62","18","Izabal","Mujer","No hay grupo",206829
"63","19","Zacapa","Mujer","No hay grupo",125135
"64","20","Chiquimula","Mujer","No hay grupo",215153
"65","21","Jalapa","Mujer","No hay grupo",177052
"66","22","Jutiapa","Mujer","No hay grupo",251132
"67","1","Guatemala","0 - 14","No hay grupo",806879
"68","2","El Progreso","0 - 14","No hay grupo",53929
"69","3","Sacatepéquez","0 - 14","No hay grupo",95094
"70","4","Chimaltenango","0 - 14","No hay grupo",209443
"71","5","Escuintla","0 - 14","No hay grupo",229278
"72","6","Santa Rosa","0 - 14","No hay grupo",126441
"73","7","Sololá","0 - 14","No hay grupo",139248
"74","8","Totonicapán","0 - 14","No hay grupo",144322
"75","9","Quetzaltenango","0 - 14","No hay grupo",250233
"76","10","Suchitepéquez","0 - 14","No hay grupo",189934
"77","11","Retalhuleu","0 - 14","No hay grupo",108898
"78","12","San Marcos","0 - 14","No hay grupo",383302
"79","13","Huehuetenango","0 - 14","No hay grupo",453183
"80","14","Quiché","0 - 14","No hay grupo",368890
"81","15","Baja Verapaz","0 - 14","No hay grupo",105389
"82","16","Alta Verapaz","0 - 14","No hay grupo",472149
"83","17","Petén","0 - 14","No hay grupo",198184
"84","18","Izabal","0 - 14","No hay grupo",138550
"85","19","Zacapa","0 - 14","No hay grupo",76364
"86","20","Chiquimula","0 - 14","No hay grupo",146074
