"","departamento","municipio","Municipio","caracteristica","grupo","observaciones"
"1","1","01","Guatemala","Total de personas","No hay grupo",923392
"2","1","02","Santa Catarina Pinula","Total de personas","No hay grupo",80582
"3","1","03","San José Pinula","Total de personas","No hay grupo",79844
"4","1","04","San José del Golfo","Total de personas","No hay grupo",7229
"5","1","05","Palencia","Total de personas","No hay grupo",70973
"6","1","06","Chinautla","Total de personas","No hay grupo",114752
"7","1","07","San Pedro Ayampuc","Total de personas","No hay grupo",58609
"8","1","08","Mixco","Total de personas","No hay grupo",465773
"9","1","09","San Pedro Sacatepéquez","Total de personas","No hay grupo",51292
"10","1","10","San Juan Sacatepéquez","Total de personas","No hay grupo",218156
"11","1","11","San Raymundo","Total de personas","No hay grupo",31605
"12","1","12","Chuarrancho","Total de personas","No hay grupo",12638
"13","1","13","Fraijanes","Total de personas","No hay grupo",58922
"14","1","14","Amatitlán","Total de personas","No hay grupo",116711
"15","1","15","Villa Nueva","Total de personas","No hay grupo",433734
"16","1","16","Villa Canales","Total de personas","No hay grupo",155422
"17","1","17","San Miguel Petapa","Total de personas","No hay grupo",135447
"18","2","01","Guastatoya","Total de personas","No hay grupo",24821
"19","2","02","Morazán","Total de personas","No hay grupo",12164
"20","2","03","San Agustín Acasaguastlán","Total de personas","No hay grupo",45765
"21","2","04","San Cristóbal Acasaguastlán","Total de personas","No hay grupo",7199
"22","2","05","El Jícaro","Total de personas","No hay grupo",13128
"23","2","06","Sansare","Total de personas","No hay grupo",13154
"24","2","07","Sanarate","Total de personas","No hay grupo",39444
"25","2","08","San Antonio la Paz","Total de personas","No hay grupo",20957
"26","3","01","Antigua Guatemala","Total de personas","No hay grupo",46054
"27","3","02","Jocotenango","Total de personas","No hay grupo",21657
"28","3","03","Pastores","Total de personas","No hay grupo",17814
"29","3","04","Sumpango","Total de personas","No hay grupo",37260
"30","3","05","Santo Domingo Xenacoj","Total de personas","No hay grupo",12402
"31","3","06","Santiago Sacatepéquez","Total de personas","No hay grupo",29238
"32","3","07","San Bartolomé Milpas Altas","Total de personas","No hay grupo",7816
"33","3","08","San Lucas Sacatepéquez","Total de personas","No hay grupo",23369
"34","3","09","Santa Lucía Milpas Altas","Total de personas","No hay grupo",15570
"35","3","10","Magdalena Milpas Altas","Total de personas","No hay grupo",11856
"36","3","11","Santa María de Jesús","Total de personas","No hay grupo",21938
"37","3","12","Ciudad Vieja","Total de personas","No hay grupo",33405
"38","3","13","San Miguel Dueñas","Total de personas","No hay grupo",12696
"39","3","14","San Juan Alotenango","Total de personas","No hay grupo",23986
"40","3","15","San Antonio Aguas Calientes","Total de personas","No hay grupo",11347
"41","3","16","Santa Catarina Barahona","Total de personas","No hay grupo",4061
"42","4","01","Chimaltenango","Total de personas","No hay grupo",96985
"43","4","02","San José Poaquil","Total de personas","No hay grupo",26845
"44","4","03","San Martín Jilotepeque","Total de personas","No hay grupo",73469
"45","4","04","San Juan Comalapa","Total de personas","No hay grupo",48597
"46","4","05","Santa Apolonia","Total de personas","No hay grupo",18540
"47","4","06","Tecpán Guatemala","Total de personas","No hay grupo",91927
"48","4","07","Patzún","Total de personas","No hay grupo",58240
"49","4","08","San Miguel Pochuta","Total de personas","No hay grupo",8790
"50","4","09","Patzicía","Total de personas","No hay grupo",33207
"51","4","10","Santa Cruz Balanyá","Total de personas","No hay grupo",9479
"52","4","11","Acatenango","Total de personas","No hay grupo",23228
"53","4","12","San Pedro Yepocapa","Total de personas","No hay grupo",34948
"54","4","13","San Andrés Itzapa","Total de personas","No hay grupo",32083
"55","4","14","Parramos","Total de personas","No hay grupo",15924
"56","4","15","Zaragoza","Total de personas","No hay grupo",24022
"57","4","16","El Tejar","Total de personas","No hay grupo",19492
"58","5","01","Escuintla","Total de personas","No hay grupo",156313
"59","5","02","Santa Lucía Cotzumalguapa","Total de personas","No hay grupo",112780
"60","5","03","La Democracia","Total de personas","No hay grupo",23017
"61","5","04","Siquinalá","Total de personas","No hay grupo",22968
"62","5","05","Masagua","Total de personas","No hay grupo",45323
"63","5","06","Tiquisate","Total de personas","No hay grupo",57292
"64","5","07","La Gomera","Total de personas","No hay grupo",46666
"65","5","08","Guanagazapa","Total de personas","No hay grupo",15958
"66","5","09","San José","Total de personas","No hay grupo",62801
"67","5","10","Iztapa","Total de personas","No hay grupo",18342
"68","5","11","Palín","Total de personas","No hay grupo",65873
"69","5","12","San Vicente Pacaya","Total de personas","No hay grupo",16705
"70","5","13","Nueva Concepción","Total de personas","No hay grupo",72909
"71","5","14","Sipacate","Total de personas","No hay grupo",16234
"72","6","01","Cuilapa","Total de personas","No hay grupo",41359
"73","6","02","Barberena","Total de personas","No hay grupo",58276
"74","6","03","Santa Rosa de Lima","Total de personas","No hay grupo",19702
"75","6","04","Casillas","Total de personas","No hay grupo",24956
"76","6","05","San Rafael las Flores","Total de personas","No hay grupo",12641
"77","6","06","Oratorio","Total de personas","No hay grupo",24954
"78","6","07","San Juan Tecuaco","Total de personas","No hay grupo",10122
"79","6","08","Chiquimulilla","Total de personas","No hay grupo",53727
"80","6","09","Taxisco","Total de personas","No hay grupo",29846
"81","6","10","Santa María Ixhuatán","Total de personas","No hay grupo",23801
"82","6","11","Guazacapán","Total de personas","No hay grupo",18855
"83","6","12","Santa Cruz Naranjo","Total de personas","No hay grupo",16385
"84","6","13","Pueblo Nuevo Viñas","Total de personas","No hay grupo",25529
"85","6","14","Nueva Santa Rosa","Total de personas","No hay grupo",36454
"86","7","01","Sololá","Total de personas","No hay grupo",88612
"87","7","02","San José Chacayá","Total de personas","No hay grupo",4068
"88","7","03","Santa María Visitación","Total de personas","No hay grupo",2370
"89","7","04","Santa Lucía Utatlán","Total de personas","No hay grupo",21284
"90","7","05","Nahualá","Total de personas","No hay grupo",75430
"91","7","06","Santa Catarina Ixtahuacán","Total de personas","No hay grupo",56981
"92","7","07","Santa Clara la Laguna","Total de personas","No hay grupo",9405
"93","7","08","Concepción","Total de personas","No hay grupo",6601
"94","7","09","San Andrés Semetabaj","Total de personas","No hay grupo",13142
"95","7","10","Panajachel","Total de personas","No hay grupo",15077
"96","7","11","Santa Catarina Palopó","Total de personas","No hay grupo",3924
"97","7","12","San Antonio Palopó","Total de personas","No hay grupo",14437
