"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Total de personas","No hay grupo",3015081
"2","2","El Progreso","Total de personas","No hay grupo",176632
"3","3","Sacatepéquez","Total de personas","No hay grupo",330469
"4","4","Chimaltenango","Total de personas","No hay grupo",615776
"5","5","Escuintla","Total de personas","No hay grupo",733181
"6","6","Santa Rosa","Total de personas","No hay grupo",396607
"7","7","Sololá","Total de personas","No hay grupo",421583
"8","8","Totonicapán","Total de personas","No hay grupo",418569
"9","9","Quetzaltenango","Total de personas","No hay grupo",799101
"10","10","Suchitepéquez","Total de personas","No hay grupo",554695
"11","11","Retalhuleu","Total de personas","No hay grupo",326828
"12","12","San Marcos","Total de personas","No hay grupo",1032277
"13","13","Huehuetenango","Total de personas","No hay grupo",1170669
"14","14","Quiché","Total de personas","No hay grupo",949261
"15","15","Baja Verapaz","Total de personas","No hay grupo",299476
"16","16","Alta Verapaz","Total de personas","No hay grupo",1215038
"17","17","Petén","Total de personas","No hay grupo",545600
"18","18","Izabal","Total de personas","No hay grupo",408688
"19","19","Zacapa","Total de personas","No hay grupo",245374
"20","20","Chiquimula","Total de personas","No hay grupo",415063
"21","21","Jalapa","Total de personas","No hay grupo",342923
"22","22","Jutiapa","Total de personas","No hay grupo",488395
"23","1","Guatemala","Pueblo de pertenencia","Maya",402376
"24","2","El Progreso","Pueblo de pertenencia","Maya",2627
"25","3","Sacatepéquez","Pueblo de pertenencia","Maya",132762
"26","4","Chimaltenango","Pueblo de pertenencia","Maya",481335
"27","5","Escuintla","Pueblo de pertenencia","Maya",37100
"28","6","Santa Rosa","Pueblo de pertenencia","Maya",7863
"29","7","Sololá","Pueblo de pertenencia","Maya",406295
"30","8","Totonicapán","Pueblo de pertenencia","Maya",410195
"31","9","Quetzaltenango","Pueblo de pertenencia","Maya",406491
"32","10","Suchitepéquez","Pueblo de pertenencia","Maya",211103
"33","11","Retalhuleu","Pueblo de pertenencia","Maya",48871
"34","12","San Marcos","Pueblo de pertenencia","Maya",318093
"35","13","Huehuetenango","Pueblo de pertenencia","Maya",760871
"36","14","Quiché","Pueblo de pertenencia","Maya",846500
"37","15","Baja Verapaz","Pueblo de pertenencia","Maya",179746
"38","16","Alta Verapaz","Pueblo de pertenencia","Maya",1129369
"39","17","Petén","Pueblo de pertenencia","Maya",164814
"40","18","Izabal","Pueblo de pertenencia","Maya",115296
"41","19","Zacapa","Pueblo de pertenencia","Maya",4769
"42","20","Chiquimula","Pueblo de pertenencia","Maya",111368
"43","21","Jalapa","Pueblo de pertenencia","Maya",24891
"44","22","Jutiapa","Pueblo de pertenencia","Maya",4768
"45","1","Guatemala","Pueblo de pertenencia","Garífuna",4583
"46","2","El Progreso","Pueblo de pertenencia","Garífuna",184
"47","3","Sacatepéquez","Pueblo de pertenencia","Garífuna",428
"48","4","Chimaltenango","Pueblo de pertenencia","Garífuna",563
"49","5","Escuintla","Pueblo de pertenencia","Garífuna",933
"50","6","Santa Rosa","Pueblo de pertenencia","Garífuna",646
"51","7","Sololá","Pueblo de pertenencia","Garífuna",387
"52","8","Totonicapán","Pueblo de pertenencia","Garífuna",274
"53","9","Quetzaltenango","Pueblo de pertenencia","Garífuna",675
"54","10","Suchitepéquez","Pueblo de pertenencia","Garífuna",639
"55","11","Retalhuleu","Pueblo de pertenencia","Garífuna",258
"56","12","San Marcos","Pueblo de pertenencia","Garífuna",757
"57","13","Huehuetenango","Pueblo de pertenencia","Garífuna",884
"58","14","Quiché","Pueblo de pertenencia","Garífuna",556
"59","15","Baja Verapaz","Pueblo de pertenencia","Garífuna",244
"60","16","Alta Verapaz","Pueblo de pertenencia","Garífuna",1136
"61","17","Petén","Pueblo de pertenencia","Garífuna",462
"62","18","Izabal","Pueblo de pertenencia","Garífuna",3002
"63","19","Zacapa","Pueblo de pertenencia","Garífuna",349
"64","20","Chiquimula","Pueblo de pertenencia","Garífuna",797
"65","21","Jalapa","Pueblo de pertenencia","Garífuna",832
"66","22","Jutiapa","Pueblo de pertenencia","Garífuna",940
"67","1","Guatemala","Pueblo de pertenencia","Xinka",3382
"68","2","El Progreso","Pueblo de pertenencia","Xinka",46
"69","3","Sacatepéquez","Pueblo de pertenencia","Xinka",206
"70","4","Chimaltenango","Pueblo de pertenencia","Xinka",237
"71","5","Escuintla","Pueblo de pertenencia","Xinka",259
"72","6","Santa Rosa","Pueblo de pertenencia","Xinka",55855
"73","7","Sololá","Pueblo de pertenencia","Xinka",35
"74","8","Totonicapán","Pueblo de pertenencia","Xinka",49
"75","9","Quetzaltenango","Pueblo de pertenencia","Xinka",206
"76","10","Suchitepéquez","Pueblo de pertenencia","Xinka",210
"77","11","Retalhuleu","Pueblo de pertenencia","Xinka",58
