"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Población de 7 años o más","No hay grupo",2641109
"2","2","El Progreso","Población de 7 años o más","No hay grupo",151201
"3","3","Sacatepéquez","Población de 7 años o más","No hay grupo",287301
"4","4","Chimaltenango","Población de 7 años o más","No hay grupo",517360
"5","5","Escuintla","Población de 7 años o más","No hay grupo",623009
"6","6","Santa Rosa","Población de 7 años o más","No hay grupo",336320
"7","7","Sololá","Población de 7 años o más","No hay grupo",358457
"8","8","Totonicapán","Población de 7 años o más","No hay grupo",350819
"9","9","Quetzaltenango","Población de 7 años o más","No hay grupo",680558
"10","10","Suchitepéquez","Población de 7 años o más","No hay grupo",463564
"11","11","Retalhuleu","Población de 7 años o más","No hay grupo",274349
"12","12","San Marcos","Población de 7 años o más","No hay grupo",848315
"13","13","Huehuetenango","Población de 7 años o más","No hay grupo",946716
"14","14","Quiché","Población de 7 años o más","No hay grupo",773272
"15","15","Baja Verapaz","Población de 7 años o más","No hay grupo",248176
"16","16","Alta Verapaz","Población de 7 años o más","No hay grupo",984235
"17","17","Petén","Población de 7 años o más","No hay grupo",449331
"18","18","Izabal","Población de 7 años o más","No hay grupo",342614
"19","19","Zacapa","Población de 7 años o más","No hay grupo",209192
"20","20","Chiquimula","Población de 7 años o más","No hay grupo",343834
"21","21","Jalapa","Población de 7 años o más","No hay grupo",283478
"22","22","Jutiapa","Población de 7 años o más","No hay grupo",415727
"23","1","Guatemala","Uso de Celular","Usa Celular",2087365
"24","2","El Progreso","Uso de Celular","Usa Celular",98530
"25","3","Sacatepéquez","Uso de Celular","Usa Celular",198266
"26","4","Chimaltenango","Uso de Celular","Usa Celular",315002
"27","5","Escuintla","Uso de Celular","Usa Celular",396653
"28","6","Santa Rosa","Uso de Celular","Usa Celular",218809
"29","7","Sololá","Uso de Celular","Usa Celular",203478
"30","8","Totonicapán","Uso de Celular","Usa Celular",192747
"31","9","Quetzaltenango","Uso de Celular","Usa Celular",460792
"32","10","Suchitepéquez","Uso de Celular","Usa Celular",276979
