"","departamento","municipio","Municipio","caracteristica","grupo","observaciones"
"1","1","01","Guatemala","Población de 7 años o más","No hay grupo",823541
"2","1","02","Santa Catarina Pinula","Población de 7 años o más","No hay grupo",70958
"3","1","03","San José Pinula","Población de 7 años o más","No hay grupo",68509
"4","1","04","San José del Golfo","Población de 7 años o más","No hay grupo",6206
"5","1","05","Palencia","Población de 7 años o más","No hay grupo",59630
"6","1","06","Chinautla","Población de 7 años o más","No hay grupo",98780
"7","1","07","San Pedro Ayampuc","Población de 7 años o más","No hay grupo",50043
"8","1","08","Mixco","Población de 7 años o más","No hay grupo",413084
"9","1","09","San Pedro Sacatepéquez","Población de 7 años o más","No hay grupo",43666
"10","1","10","San Juan Sacatepéquez","Población de 7 años o más","No hay grupo",184474
"11","1","11","San Raymundo","Población de 7 años o más","No hay grupo",26643
"12","1","12","Chuarrancho","Población de 7 años o más","No hay grupo",10555
"13","1","13","Fraijanes","Población de 7 años o más","No hay grupo",52138
"14","1","14","Amatitlán","Población de 7 años o más","No hay grupo",100917
"15","1","15","Villa Nueva","Población de 7 años o más","No hay grupo",378827
"16","1","16","Villa Canales","Población de 7 años o más","No hay grupo",133606
"17","1","17","San Miguel Petapa","Población de 7 años o más","No hay grupo",119532
"18","2","01","Guastatoya","Población de 7 años o más","No hay grupo",21686
"19","2","02","Morazán","Población de 7 años o más","No hay grupo",10512
"20","2","03","San Agustín Acasaguastlán","Población de 7 años o más","No hay grupo",38035
"21","2","04","San Cristóbal Acasaguastlán","Población de 7 años o más","No hay grupo",6227
"22","2","05","El Jícaro","Población de 7 años o más","No hay grupo",11426
"23","2","06","Sansare","Población de 7 años o más","No hay grupo",11416
"24","2","07","Sanarate","Población de 7 años o más","No hay grupo",34148
"25","2","08","San Antonio la Paz","Población de 7 años o más","No hay grupo",17751
"26","3","01","Antigua Guatemala","Población de 7 años o más","No hay grupo",40973
"27","3","02","Jocotenango","Población de 7 años o más","No hay grupo",19292
"28","3","03","Pastores","Población de 7 años o más","No hay grupo",15433
"29","3","04","Sumpango","Población de 7 años o más","No hay grupo",31813
"30","3","05","Santo Domingo Xenacoj","Población de 7 años o más","No hay grupo",10585
"31","3","06","Santiago Sacatepéquez","Población de 7 años o más","No hay grupo",25291
"32","3","07","San Bartolomé Milpas Altas","Población de 7 años o más","No hay grupo",6831
"33","3","08","San Lucas Sacatepéquez","Población de 7 años o más","No hay grupo",20577
"34","3","09","Santa Lucía Milpas Altas","Población de 7 años o más","No hay grupo",13662
"35","3","10","Magdalena Milpas Altas","Población de 7 años o más","No hay grupo",10365
"36","3","11","Santa María de Jesús","Población de 7 años o más","No hay grupo",18454
"37","3","12","Ciudad Vieja","Población de 7 años o más","No hay grupo",29121
"38","3","13","San Miguel Dueñas","Población de 7 años o más","No hay grupo",10985
"39","3","14","San Juan Alotenango","Población de 7 años o más","No hay grupo",20473
"40","3","15","San Antonio Aguas Calientes","Población de 7 años o más","No hay grupo",9900
"41","3","16","Santa Catarina Barahona","Población de 7 años o más","No hay grupo",3546
"42","4","01","Chimaltenango","Población de 7 años o más","No hay grupo",83554
"43","4","02","San José Poaquil","Población de 7 años o más","No hay grupo",22856
"44","4","03","San Martín Jilotepeque","Población de 7 años o más","No hay grupo",61676
"45","4","04","San Juan Comalapa","Población de 7 años o más","No hay grupo",41229
"46","4","05","Santa Apolonia","Población de 7 años o más","No hay grupo",15016
"47","4","06","Tecpán Guatemala","Población de 7 años o más","No hay grupo",75219
"48","4","07","Patzún","Población de 7 años o más","No hay grupo",49017
"49","4","08","San Miguel Pochuta","Población de 7 años o más","No hay grupo",7463
"50","4","09","Patzicía","Población de 7 años o más","No hay grupo",28069
"51","4","10","Santa Cruz Balanyá","Población de 7 años o más","No hay grupo",7931
"52","4","11","Acatenango","Población de 7 años o más","No hay grupo",19335
"53","4","12","San Pedro Yepocapa","Población de 7 años o más","No hay grupo",28758
"54","4","13","San Andrés Itzapa","Población de 7 años o más","No hay grupo",26742
"55","4","14","Parramos","Población de 7 años o más","No hay grupo",13554
"56","4","15","Zaragoza","Población de 7 años o más","No hay grupo",20166
"57","4","16","El Tejar","Población de 7 años o más","No hay grupo",16775
"58","5","01","Escuintla","Población de 7 años o más","No hay grupo",135581
"59","5","02","Santa Lucía Cotzumalguapa","Población de 7 años o más","No hay grupo",95804
