"","Código","Departamento","caracteristica","grupo","observaciones"
"1","1","Guatemala","Total de viviendas","No hay grupo",873937
"2","2","El Progreso","Total de viviendas","No hay grupo",54138
"3","3","Sacatepéquez","Total de viviendas","No hay grupo",88465
"4","4","Chimaltenango","Total de viviendas","No hay grupo",144907
"5","5","Escuintla","Total de viviendas","No hay grupo",209552
"6","6","Santa Rosa","Total de viviendas","No hay grupo",116702
"7","7","Sololá","Total de viviendas","No hay grupo",101958
"8","8","Totonicapán","Total de viviendas","No hay grupo",107617
"9","9","Quetzaltenango","Total de viviendas","No hay grupo",214031
"10","10","Suchitepéquez","Total de viviendas","No hay grupo",140149
"11","11","Retalhuleu","Total de viviendas","No hay grupo",87882
"12","12","San Marcos","Total de viviendas","No hay grupo",270185
"13","13","Huehuetenango","Total de viviendas","No hay grupo",304351
"14","14","Quiché","Total de viviendas","No hay grupo",217768
"15","15","Baja Verapaz","Total de viviendas","No hay grupo",83790
"16","16","Alta Verapaz","Total de viviendas","No hay grupo",254262
"17","17","Petén","Total de viviendas","No hay grupo",146670
"18","18","Izabal","Total de viviendas","No hay grupo",113346
"19","19","Zacapa","Total de viviendas","No hay grupo",75654
"20","20","Chiquimula","Total de viviendas","No hay grupo",108070
"21","21","Jalapa","Total de viviendas","No hay grupo",88135
"22","22","Jutiapa","Total de viviendas","No hay grupo",141516
"23","1","Guatemala","Total de viviendas particulares","No hay grupo",873704
"24","2","El Progreso","Total de viviendas particulares","No hay grupo",54109
"25","3","Sacatepéquez","Total de viviendas particulares","No hay grupo",88373
"26","4","Chimaltenango","Total de viviendas particulares","No hay grupo",144844
"27","5","Escuintla","Total de viviendas particulares","No hay grupo",209451
"28","6","Santa Rosa","Total de viviendas particulares","No hay grupo",116653
"29","7","Sololá","Total de viviendas particulares","No hay grupo",101919
"30","8","Totonicapán","Total de viviendas particulares","No hay grupo",107602
"31","9","Quetzaltenango","Total de viviendas particulares","No hay grupo",213979
"32","10","Suchitepéquez","Total de viviendas particulares","No hay grupo",140126
"33","11","Retalhuleu","Total de viviendas particulares","No hay grupo",87869
"34","12","San Marcos","Total de viviendas particulares","No hay grupo",270142
"35","13","Huehuetenango","Total de viviendas particulares","No hay grupo",304317
"36","14","Quiché","Total de viviendas particulares","No hay grupo",217720
"37","15","Baja Verapaz","Total de viviendas particulares","No hay grupo",83771
"38","16","Alta Verapaz","Total de viviendas particulares","No hay grupo",254205
"39","17","Petén","Total de viviendas particulares","No hay grupo",146624
"40","18","Izabal","Total de viviendas particulares","No hay grupo",113333
"41","19","Zacapa","Total de viviendas particulares","No hay grupo",75643
"42","20","Chiquimula","Total de viviendas particulares","No hay grupo",108033
"43","21","Jalapa","Total de viviendas particulares","No hay grupo",88118
"44","22","Jutiapa","Total de viviendas particulares","No hay grupo",141507
"45","1","Guatemala","Total de viviendas colectivas","No hay grupo",233
"46","2","El Progreso","Total de viviendas colectivas","No hay grupo",29
"47","3","Sacatepéquez","Total de viviendas colectivas","No hay grupo",92
"48","4","Chimaltenango","Total de viviendas colectivas","No hay grupo",63
"49","5","Escuintla","Total de viviendas colectivas","No hay grupo",101
"50","6","Santa Rosa","Total de viviendas colectivas","No hay grupo",49
"51","7","Sololá","Total de viviendas colectivas","No hay grupo",39
"52","8","Totonicapán","Total de viviendas colectivas","No hay grupo",15
"53","9","Quetzaltenango","Total de viviendas colectivas","No hay grupo",52
"54","10","Suchitepéquez","Total de viviendas colectivas","No hay grupo",23
"55","11","Retalhuleu","Total de viviendas colectivas","No hay grupo",13
"56","12","San Marcos","Total de viviendas colectivas","No hay grupo",43
"57","13","Huehuetenango","Total de viviendas colectivas","No hay grupo",34
"58","14","Quiché","Total de viviendas colectivas","No hay grupo",48
"59","15","Baja Verapaz","Total de viviendas colectivas","No hay grupo",19
"60","16","Alta Verapaz","Total de viviendas colectivas","No hay grupo",57
"61","17","Petén","Total de viviendas colectivas","No hay grupo",46
"62","18","Izabal","Total de viviendas colectivas","No hay grupo",13
"63","19","Zacapa","Total de viviendas colectivas","No hay grupo",11
"64","20","Chiquimula","Total de viviendas colectivas","No hay grupo",37
"65","21","Jalapa","Total de viviendas colectivas","No hay grupo",17
"66","22","Jutiapa","Total de viviendas colectivas","No hay grupo",9
"67","1","Guatemala","Tipo de vivienda particular","Casa Formal",773151
"68","2","El Progreso","Tipo de vivienda particular","Casa Formal",51801
"69","3","Sacatepéquez","Tipo de vivienda particular","Casa Formal",84932
"70","4","Chimaltenango","Tipo de vivienda particular","Casa Formal",143176
"71","5","Escuintla","Tipo de vivienda particular","Casa Formal",194205
"72","6","Santa Rosa","Tipo de vivienda particular","Casa Formal",110205
"73","7","Sololá","Tipo de vivienda particular","Casa Formal",100828
"74","8","Totonicapán","Tipo de vivienda particular","Casa Formal",106866
"75","9","Quetzaltenango","Tipo de vivienda particular","Casa Formal",208212
"76","10","Suchitepéquez","Tipo de vivienda particular","Casa Formal",133134
"77","11","Retalhuleu","Tipo de vivienda particular","Casa Formal",82418
"78","12","San Marcos","Tipo de vivienda particular","Casa Formal",264612
"79","13","Huehuetenango","Tipo de vivienda particular","Casa Formal",300906
"80","14","Quiché","Tipo de vivienda particular","Casa Formal",214080
"81","15","Baja Verapaz","Tipo de vivienda particular","Casa Formal",82765
"82","16","Alta Verapaz","Tipo de vivienda particular","Casa Formal",235379
"83","17","Petén","Tipo de vivienda particular","Casa Formal",125547
"84","18","Izabal","Tipo de vivienda particular","Casa Formal",99538
"85","19","Zacapa","Tipo de vivienda particular","Casa Formal",73600
"86","20","Chiquimula","Tipo de vivienda particular","Casa Formal",99389
"87","21","Jalapa","Tipo de vivienda particular","Casa Formal",86440
"88","22","Jutiapa","Tipo de vivienda particular","Casa Formal",138548
"89","1","Guatemala","Tipo de vivienda particular","Apartamento",53694
"90","2","El Progreso","Tipo de vivienda particular","Apartamento",423
"91","3","Sacatepéquez","Tipo de vivienda particular","Apartamento",713
"92","4","Chimaltenango","Tipo de vivienda particular","Apartamento",308
"93","5","Escuintla","Tipo de vivienda particular","Apartamento",1494
"94","6","Santa Rosa","Tipo de vivienda particular","Apartamento",261
"95","7","Sololá","Tipo de vivienda particular","Apartamento",182
"96","8","Totonicapán","Tipo de vivienda particular","Apartamento",97
"97","9","Quetzaltenango","Tipo de vivienda particular","Apartamento",2461
"98","10","Suchitepéquez","Tipo de vivienda particular","Apartamento",819
"99","11","Retalhuleu","Tipo de vivienda particular","Apartamento",399
"100","12","San Marcos","Tipo de vivienda particular","Apartamento",361
"101","13","Huehuetenango","Tipo de vivienda particular","Apartamento",730
"102","14","Quiché","Tipo de vivienda particular","Apartamento",163
"103","15","Baja Verapaz","Tipo de vivienda particular","Apartamento",64
"104","16","Alta Verapaz","Tipo de vivienda particular","Apartamento",383
"105","17","Petén","Tipo de vivienda particular","Apartamento",159
"106","18","Izabal","Tipo de vivienda particular","Apartamento",481
"107","19","Zacapa","Tipo de vivienda particular","Apartamento",238
"108","20","Chiquimula","Tipo de vivienda particular","Apartamento",408
"109","21","Jalapa","Tipo de vivienda particular","Apartamento",389
"110","22","Jutiapa","Tipo de vivienda particular","Apartamento",514
"111","1","Guatemala","Tipo de vivienda particular","Cuarto de casa de vecindad",26023
"112","2","El Progreso","Tipo de vivienda particular","Cuarto de casa de vecindad",345
"113","3","Sacatepéquez","Tipo de vivienda particular","Cuarto de casa de vecindad",714
"114","4","Chimaltenango","Tipo de vivienda particular","Cuarto de casa de vecindad",510
"115","5","Escuintla","Tipo de vivienda particular","Cuarto de casa de vecindad",4663
"116","6","Santa Rosa","Tipo de vivienda particular","Cuarto de casa de vecindad",828
"117","7","Sololá","Tipo de vivienda particular","Cuarto de casa de vecindad",513
"118","8","Totonicapán","Tipo de vivienda particular","Cuarto de casa de vecindad",68
"119","9","Quetzaltenango","Tipo de vivienda particular","Cuarto de casa de vecindad",1071
"120","10","Suchitepéquez","Tipo de vivienda particular","Cuarto de casa de vecindad",1502
"121","11","Retalhuleu","Tipo de vivienda particular","Cuarto de casa de vecindad",1007
"122","12","San Marcos","Tipo de vivienda particular","Cuarto de casa de vecindad",835
"123","13","Huehuetenango","Tipo de vivienda particular","Cuarto de casa de vecindad",511
