"","departamento","municipio","Municipio","caracteristica","grupo","observaciones"
"1","1","01","Guatemala","Total de viviendas","No hay grupo",283886
"2","1","02","Santa Catarina Pinula","Total de viviendas","No hay grupo",24997
"3","1","03","San José Pinula","Total de viviendas","No hay grupo",23683
"4","1","04","San José del Golfo","Total de viviendas","No hay grupo",2411
"5","1","05","Palencia","Total de viviendas","No hay grupo",20107
"6","1","06","Chinautla","Total de viviendas","No hay grupo",31007
"7","1","07","San Pedro Ayampuc","Total de viviendas","No hay grupo",17140
"8","1","08","Mixco","Total de viviendas","No hay grupo",130545
"9","1","09","San Pedro Sacatepéquez","Total de viviendas","No hay grupo",11747
"10","1","10","San Juan Sacatepéquez","Total de viviendas","No hay grupo",56518
"11","1","11","San Raymundo","Total de viviendas","No hay grupo",9362
"12","1","12","Chuarrancho","Total de viviendas","No hay grupo",3757
"13","1","13","Fraijanes","Total de viviendas","No hay grupo",16775
"14","1","14","Amatitlán","Total de viviendas","No hay grupo",33910
"15","1","15","Villa Nueva","Total de viviendas","No hay grupo",125493
"16","1","16","Villa Canales","Total de viviendas","No hay grupo",43710
"17","1","17","San Miguel Petapa","Total de viviendas","No hay grupo",38889
"18","2","01","Guastatoya","Total de viviendas","No hay grupo",8190
"19","2","02","Morazán","Total de viviendas","No hay grupo",4532
"20","2","03","San Agustín Acasaguastlán","Total de viviendas","No hay grupo",12679
"21","2","04","San Cristóbal Acasaguastlán","Total de viviendas","No hay grupo",2661
"22","2","05","El Jícaro","Total de viviendas","No hay grupo",4219
"23","2","06","Sansare","Total de viviendas","No hay grupo",4110
"24","2","07","Sanarate","Total de viviendas","No hay grupo",11504
"25","2","08","San Antonio la Paz","Total de viviendas","No hay grupo",6243
"26","3","01","Antigua Guatemala","Total de viviendas","No hay grupo",14719
"27","3","02","Jocotenango","Total de viviendas","No hay grupo",5711
"28","3","03","Pastores","Total de viviendas","No hay grupo",4114
"29","3","04","Sumpango","Total de viviendas","No hay grupo",10057
"30","3","05","Santo Domingo Xenacoj","Total de viviendas","No hay grupo",3303
